Timestamp,Angle,Distance
198.75272,151.11300843406843,0.0
200.435168,129.49256289972257,3.457854690099453
203.300586,131.93095078778427,3.32001280260082
205.488559,129.0048775085175,3.685249885407665
219.728986,64.79339741411614,3.685249885407665
223.115103,64.9559592111845,3.685249885407665
227.420076,64.79339741411614,3.685249885407665
232.739158,134.85702406705101,2.965569484710721
237.98853,137.45798677483563,2.7219520298876665
244.496612,145.58597244701704,2.200266897547055
256.086689,145.09830007846654,2.2186620980860687
266.626929,64.9559592111845,2.223544762854981
277.593095,134.04422810436378,3.0921143336189854
291.686884,133.0688703446082,3.2035094754940667
302.682286,66.90673333264127,3.1988772943483963
312.622767,135.8323948494612,2.9000510519127753
343.341289,139.73382588848352,2.49256047459616
343.441811,139.89638768555187,2.4927679874780964
345.721198,139.89638768555187,2.490677316530856
346.001414,140.05893645996568,2.490677316530856
346.301294,139.89638768555187,2.490677316530856
346.581306,139.89638768555187,2.490677316530856
346.901201,139.89638768555187,2.490677316530856
347.283535,140.05893645996568,2.490677316530856
347.601278,139.89638768555187,2.490677316530856
347.941281,139.89638768555187,2.490677316530856
348.221348,139.89638768555187,2.490677316530856
348.541354,139.89638768555187,2.490677316530856
348.821626,122.50248376171052,2.490677316530856
